oid,index,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF25aacdnrt,0,WISEA J151647.64-155325.9,229.19853,-15.89053,1.5464852873490058,0.7420489578947688,0.8259268768943575,NED,False,NULL,NULL,NULL
ZTF25aacdlqg,1,SDSS J155858.33+550119.8,239.743036999867,55.0221764878113,0.4296843975500055,0.2211033869377751,0.2181003761398845,SDSSDR16,False,0.409261,0.148265,photoz
ZTF25aacdlqc,2,SDSS J165757.52+383027.9,254.489687420405,38.507764878247,0.8504171082325611,0.3264801604169372,1.1755325443988596,SDSSDR16,False,0.09912,0.030664,photoz
ZTF25aacdlpf,3,SDSS J152949.77+520107.3,232.457378365585,52.0186990203527,2.6464491570077744,3.588343960340956,1.8449310237928085,SDSSDR16,False,0.46235,0.072096,photoz
ZTF25aacdkws,4,WISEA J163619.20+683017.7,249.08002,68.50492,0.6481630564306567,0.9454112905610724,1.4964527565592536,NED,False,NULL,NULL,NULL
ZTF25aacdkan,5,SDSS J142823.49+330219.4,217.097860778811,33.0387321261333,2.621204695203644,0.1645199970682604,2.460406117200714,SDSSDR16,False,0.243603,0.070289,photoz
ZTF25aacdjzy,6,SDSS J153717.47+270426.5,234.322791114024,27.0740401407062,2.544979460534592,0.5167007542063723,2.887868801372881,SDSSDR16,True,0.09472493,2.991064e-05,specz
ZTF25aacdjzo,7,SDSS J162314.32+405519.1,245.809659111012,40.9219742859025,0.8889187096420501,0.2042308403074187,1.0602757314099491,SDSSDR16,False,0.133856,0.117949,photoz
ZTF25aacdipy,8,SDSS J123509.16+524613.5,188.78814762549,52.7704245199993,0.2974227652149178,0.1467418065522156,0.1588085752300238,SDSSDR16,False,0.125357,0.036362,photoz
ZTF25aacdheo,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF25aaccqfa,10,WISEA J051856.76-071530.8,79.73653,-7.25858,2.124775932222412,1.7559332446128502,0.5745775133829156,NED,False,NULL,NULL,NULL
ZTF25aacbvcx,11,WISEA J074933.99+695809.2,117.39163,69.96923,2.2682240007743144,0.2448590547294144,2.121272593005408,NED,False,NULL,NULL,NULL
ZTF25aacblvq,12,SDSS J085610.49+510134.4,134.04371601002,51.0262333675063,1.0468201079847672,0.3908945693067772,1.4004713207249184,SDSSDR16,False,0.20929,0.096534,photoz
ZTF25aacbhct,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF25aabzbex,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF25aabqggv,15,SDSS J083032.67+535151.0,127.636115384643,53.8641845850186,6.438515979922306,0.1316559848137109,6.557113232384237,SDSSDR16,True,0.1146435,1.978917e-05,specz
ZTF25aaaoinj,16,SDSS J080751.29+483812.0,121.963725930179,48.6366882393491,1.5503800011404338,0.2945586113249397,1.8308790792869087,SDSSDR16,False,0.092692,0.034812,photoz
